SCHOOL ID,SCHOOL NAME,GRADE,YEAR,READ-WARNING,READ-NOTMEET,READ-MEET,READ-EXCEED,MATH-WARNING,MATH-NOTMEET,MATH-MEET,MATH-EXCEED
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2006,0,1.1,81.1,17.8,0,0,50,50
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2007,0,1.3,77.6,21.1,0,0,56,44
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2008,0,0,76.4,23.6,0,0,34.7,65.3
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2009,54.6,35.6,0,0,74.6,9,0,0
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2010,0,0,77.4,22.6,0,0,41.9,58.1
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2011,0,0,75,25,0,0,42.2,57.8
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2012,0,2.3,88.4,9.3,0,2.3,59.3,38.4
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2013,0,3.3,68.9,27.9,0,9.8,77,13.1
1501629900031,MORGAN PARK HIGH SCHOOL          ,8,2014,0,2.4,82.9,14.6,0,12.2,70.7,17.1
1501629900032,ORR COMMUNITY ACADEMY HIGH SCHOOL,8,2004,.b,.b,.b,.b,.b,.b,.b,.b
1501629900034,PHILLIPS ACADEMY HIGH SCHOOL     ,8,2007,.b,.b,.b,.b,.b,.b,.b,.b
1501629900037,SENN METRO LIB ARTS & TECH HS           ,8,1997,.a,62,36,2,.a,33,63,4
1501629900037,SENN METRO LIB ARTS & TECH HS           ,8,1998,.a,52,41,7,.a,33,52,15
1501629900037,SENN METRO LIB ARTS & TECH HS    ,8,1999,11,38,43,9,14,77,9,0
1501629900037,SENN METRO LIB ARTS & TECH HS    ,8,2000,0,60,36,4,15,72,13,0
1501629900037,SENN METRO LIB ARTS & TECH HS    ,8,2001,2,55,43,0,16,77,7,0
1501629900037,SENN HIGH SCHOOL                 ,8,2002,2.9,41.2,55.9,0,2.9,55.9,38.2,2.9
1501629900037,SENN HIGH SCHOOL                 ,8,2003,0,71.4,28.6,0,27.3,54.5,9.1,9.1
1501629900037,SENN HIGH SCHOOL                 ,8,2013,.b,.b,.b,.b,.b,.b,.b,.b
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,6,2009,0.8,22.9,64.9,11.5,0.8,21.4,66.4,11.5
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,6,2010,0,32.4,59.2,8.5,2.4,23.3,65.7,8.6
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,6,2011,0,22.3,66.3,11.4,1.1,27.2,57.6,14.1
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,6,2012,0,34.4,56.7,8.9,0.6,28.1,65.2,6.2
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,6,2013,10.3,52.1,32.2,5.5,12.4,50.3,34.5,2.8
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,6,2014,12.9,51.6,33.9,1.6,13.6,44.8,37.6,4
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,7,2009,57.2,34,1.6,30,56.8,20.7,3.1,34.2
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,7,2010,1,31.6,56.9,10.4,3.1,19.5,65.5,11.8
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,7,2011,1,33.6,59.2,6.2,3.1,16.9,64.8,15.2
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,7,2012,0.8,28.1,63.1,8.1,1.9,21,62.2,14.9
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,7,2013,14.7,48.6,33.5,3.3,10.9,47.3,39.7,2.1
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,7,2014,15.8,50,29.8,4.4,15.2,51.5,32.9,0.4
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,8,2000,0,47,53,0,11,89,0,0
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,8,2001,0,59,41,0,5,86,10,0
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,8,2002,0,50,45.5,4.5,4.5,54.5,40.9,0
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,8,2009,54.6,35.6,0.3,27.4,74.6,9,0.3,36.5
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,8,2010,0,27.8,69.8,2.4,1.5,32.8,57.3,8.4
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,8,2011,0.3,24.4,72.6,2.7,0.3,18.3,68.3,13.1
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,8,2012,0,24.7,73.7,1.6,1,22.8,64.4,11.9
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,8,2013,8.6,47.2,37.6,6.6,6.8,46.1,42.7,4.4
150162990003C,PERSPECTIVES CHARTER HIGH SCHOOL ,8,2014,11.9,57.3,29.2,1.6,13,42.3,40.3,4.3
1501629900042,SULLIVAN HIGH SCHOOL                    ,8,1997,.a,32,68,0,.a,6,94,0
1501629900042,SULLIVAN HIGH SCHOOL                    ,8,1998,.a,41,47,12,.a,17,78,6
1501629900042,SULLIVAN HIGH SCHOOL             ,8,1999,0,0,83,17,0,54,46,0
1501629900042,SULLIVAN HIGH SCHOOL             ,8,2000,0,0,79,21,0,43,36,21
1501629900042,SULLIVAN HIGH SCHOOL             ,8,2001,0,32,58,11,0,32,58,11
1501629900042,SULLIVAN HIGH SCHOOL             ,8,2002,.b,.b,.b,.b,.b,.b,.b,.b
1501629900042,SULLIVAN HIGH SCHOOL             ,8,2003,0,16.7,50,33.3,.b,.b,.b,.b
1501629900043,TAFT HIGH SCHOOL                 ,7,2006,0,0,54.8,45.2,0,0,27.4,72.6
1501629900043,TAFT HIGH SCHOOL                 ,7,2007,0,0,51.9,48.1,0,0,19.8,80.2
1501629900043,TAFT HIGH SCHOOL                 ,7,2008,0,0,39.4,60.6,0,0,24.2,75.8
1501629900043,TAFT HIGH SCHOOL                 ,7,2009,.b,.b,0,0,56.8,20.7,0,0
1501629900043,TAFT HIGH SCHOOL                 ,7,2010,0,0.9,34.2,64.9,0,0,27,73
1501629900043,TAFT HIGH SCHOOL                 ,7,2011,0,0,30.6,69.4,0,0,12.7,87.3
1501629900043,TAFT HIGH SCHOOL                 ,7,2012,0,0,41.4,58.6,0,0,9.9,90.1
1501629900043,TAFT HIGH SCHOOL                 ,7,2013,0,3.1,37.4,59.5,0,0,52.7,47.3
1501629900043,TAFT HIGH SCHOOL                 ,7,2014,0,1.2,40,58.8,0,1.2,52.9,45.9
1501629900043,TAFT HIGH SCHOOL                 ,8,2001,0,8,69,23,4,8,58,31
1501629900043,TAFT HIGH SCHOOL                 ,8,2002,0,4.5,59.7,35.8,0,17.9,59.7,22.4
1501629900043,TAFT HIGH SCHOOL                 ,8,2003,0,1.6,68.9,29.5,.b,.b,.b,.b
1501629900043,TAFT HIGH SCHOOL                 ,8,2004,0,0,62.4,37.6,0,0,55.3,44.7
1501629900043,TAFT HIGH SCHOOL                 ,8,2005,0,1.3,68.4,30.3,0,2.6,57.9,39.5
1501629900043,TAFT HIGH SCHOOL                 ,8,2006,0,1.2,76.5,22.4,0,0,24.7,75.3
1501629900043,TAFT HIGH SCHOOL                 ,8,2007,0,0,50.7,49.3,0,0,11.3,88.7
1501629900043,TAFT HIGH SCHOOL                 ,8,2008,0,0,65.8,34.2,0,0,27.8,72.2
1501629900043,TAFT HIGH SCHOOL                 ,8,2009,54.6,35.6,0,0,74.6,9,0,0
1501629900043,TAFT HIGH SCHOOL                 ,8,2010,0,0,63.5,36.5,0,0,17.3,82.7
1501629900043,TAFT HIGH SCHOOL                 ,8,2011,0,0,70.6,29.4,0,0,27.7,72.3
1501629900043,TAFT HIGH SCHOOL                 ,8,2012,0,0,69.2,30.8,0,0,22.3,77.7
1501629900043,TAFT HIGH SCHOOL                 ,8,2013,0,4.6,44.4,50.9,0,1.9,60.2,38
1501629900043,TAFT HIGH SCHOOL                 ,8,2014,0,4.1,51.5,44.3,1,5,62,32
1501629900044,TILDEN CAREER COMMUNTY ACADEMY HS,8,2013,.b,.b,.b,.b,.b,.b,.b,.b
1501629900053,DISNEY II MAGNET HS              ,7,2014,1.1,18.2,60.2,20.5,2.2,36,52.8,9
150162990006C,NOBLE STREET CHARTER HIGH SCHOOL ,6,2012,0,16.1,67.7,16.1,1.6,6.5,58.1,33.9
150162990006C,NOBLE STREET CHARTER HIGH SCHOOL ,6,2013,4.7,24.7,50.6,20,2.4,17.6,65.9,14.1
150162990006C,NOBLE STREET CHARTER SCHOOLS     ,6,2014,3.4,43.2,38.6,14.8,2.3,19.3,56.8,21.6
150162990006C,NOBLE STREET CHARTER HIGH SCHOOL ,7,2013,3.6,25.5,50.9,20,1.8,18.2,56.4,23.6
150162990006C,NOBLE STREET CHARTER SCHOOLS     ,7,2014,2.4,20.7,57.3,19.5,1.2,22.6,69,7.1
150162990006C,NOBLE STREET CHARTER SCHOOLS     ,8,2014,6,28,48,18,6,18,58,18
150162990007C,YOUNG WOMENS LEADERSHIP CHRTR HS ,7,2009,.b,.b,0,22.9,56.8,20.7,0,45.7
